,length,reward,success,agent_velocity,agent_acceleration,agent_angular_change,alignment
2925,63,2.9817609669002314,True,0.9744591789769749,0.09738074402341863,0.16638983670339708,5.770333299502824
2926,105,-3.0577751104644615,False,0.9612204352388853,0.227940473491793,0.2279099933604265,5.378545578958745
2927,125,2.9155085474972355,True,0.9843455016526406,0.05259214495068938,0.06512713267264264,7.687458504910172
2928,64,2.977705477978302,True,0.9771217873236525,0.08948512184458357,0.18261748258497398,6.889113590944449
2929,126,-3.048200769991709,False,0.9417467204306906,0.1206377837122056,0.17264979370137265,4.324102676791935
2930,46,-3.0874414818156555,False,0.9670664155369237,0.1785558464323951,0.2680636867548597,2.6867259284718403
2931,229,2.8166660040790563,True,0.9805241960787784,0.1702972936754909,0.6935270606199823,0.2693732062152787
2932,84,2.9791985000093595,True,0.9535672755958393,0.19880827910307874,0.8861042568635734,1.335858034963271
2933,63,-3.0269497736725945,False,0.9761768949847096,0.132704952190578,0.14826642363787987,4.189093297946702
2934,10,-3.0103656774578313,False,0.7216309925536306,0.29458219950155434,0.9730035039659712,2.6225477488394313
2935,171,-3.1480565449706943,False,0.9809708065085658,0.15935648523630952,0.2611043329578935,5.6088285859927804
2936,65,2.9771512693799758,True,0.9529439949913351,0.12521123248313076,0.22947522185305533,7.506101095475506
2937,40,2.9910530693785566,True,0.943262840365442,0.0820514343091478,0.2358398227151235,0.13927174660059993
2938,112,2.9417252257153397,True,0.9676626037682086,0.14428805993524468,0.30936147720671753,0.5042363416167439
2939,1,-3.000950085296493,False,0.30000000000000004,0.30000000000000004,6.786231667616822,2.577873679011631
2940,209,2.782119595111606,True,0.9848548612598133,0.09300234497693878,0.24206920644395283,1.59656653979931
2941,77,-3.022589423962116,False,0.9498852141267577,0.22653430305259184,0.30748948235573226,1.9080974470477408
2942,79,2.9668612505451692,True,0.9791250259622716,0.13444235444871075,0.18385559932090373,6.088826435024605
2943,235,2.7365712334022945,True,0.9825942934508313,0.14844716229880306,0.17297243240612836,1.2764519965649967
2944,148,2.9412556169852015,True,0.9635254902484831,0.19665163389454135,0.3741847116367661,4.368035640730539
2945,43,-3.0481285029661147,False,0.9664493337944787,0.15265638081188584,0.14066985178324837,9.986428187498461
2946,31,2.9957866150084342,True,0.9150983030301801,0.2497033912944816,0.440568166585362,6.135260844526689
2947,197,2.8183024457752763,True,0.9828088089493058,0.1467771640158534,0.17120045476228685,7.287417817284477
2948,122,2.92219848630965,True,0.9877451110127119,0.10277733755501382,0.10478361274734031,0.8450399359719818
2949,94,2.9570607548973706,True,0.9762957429521639,0.11660699980157724,0.18153419403254564,2.484428893469791
2950,169,2.8534514279311542,True,0.9895455208964357,0.06359613762391969,0.31749577289746006,1.9021401433042184
2951,72,2.9742268258328908,True,0.9756881463234289,0.1744516681838937,0.18438047756361864,4.0269987898618576
2952,31,-3.0439405372856934,False,0.9395780749563094,0.20170905045058443,0.1962640890045418,1.5306951527618917
2953,175,2.8555189779927534,True,0.985753390706074,0.1581760760506498,0.1646458058737702,2.946386095031218
2954,153,2.881467220320864,True,0.98207822081579,0.17181784966191246,0.17551224547302244,4.100404031127437
2955,42,2.990308874300345,True,0.9659915603045077,0.12185471864701294,0.48742047517260595,0.5199309145832398
2956,113,2.934964176818266,True,0.981420223568049,0.16934437907040306,0.16311919153768548,2.052380396382852
2957,16,-3.0210001219324916,False,0.9097999739010499,0.22285654771548816,0.5544307668474155,8.927605519111447
2958,99,2.9491887785165596,True,0.9823039168682229,0.16235875945032624,0.1680742258593986,5.7249945578832335
2959,118,-3.0885722912443154,False,0.9779921196535338,0.1650743975461524,0.9157594508682746,1.1605937797488008
2960,1,-3.001369614800821,False,0.3,0.3,1.150540830700904,6.311223846659032
2961,29,-3.0288171430438053,False,0.9357510918002645,0.18872052939151987,0.23501972117383682,5.589197395956952
